id;latitud;provincia;altitud;indicativo;nombre;indsinop;longitud
1;393022N;ILLES BALEARS;149;B341X;PORRERES;;030020E
2;284817N;STA. CRUZ DE TENERIFE;362;C148F;SAN ANDR?S Y SAUCES;;174656W
3;282501N;LAS PALMAS;252;C248E;ANTIGUA;;140109W
4;280742N;STA. CRUZ DE TENERIFE;916;C316I;ARURE;;171854W
5;281044N;STA. CRUZ DE TENERIFE;765;C317B;AGULO;;171247W
6;281400N;STA. CRUZ DE TENERIFE;735;C417J;CITFAGRO_74_CHIO;;164721W
7;281935N;STA. CRUZ DE TENERIFE;290;C436I;CITFAGRO_54_TOPONEGRO;;162420W
8;274859N;LAS PALMAS;10;C629X;MOG?N, PUERTO;60036;154551W
9;274308N;STA. CRUZ DE TENERIFE;948;C916Q;EL PINAR, DEP?SITO;;175841W
10;280839N;STA. CRUZ DE TENERIFE;1258;C426E;CITFAGRO_13_VILAFLOR;;163741W
11;274331N;STA. CRUZ DE TENERIFE;713;C917E;EL PINAR, LA DEHESA;;180654W
12;282142N;STA. CRUZ DE TENERIFE;1065;C455M;CITFAGRO_87_AGUAMANSA;;162949W
13;411438N;BARCELONA;58;0073X;SITGES;;015109E
14;413903N;BARCELONA;40;0255B;SANTA SUSANNA;8188;024149E
15;275536N;LAS PALMAS;1220;C623I;SAN BARTOLOME TIRAJANA, CUEVAS DEL PINAR;;153559W
16;421530N;GIRONA;851;0312X;SANT PAU DE SEG?RIES;;022152E
17;405729N;TARRAGONA;32;0002I;VANDELL?S;8169;005217E
18;431244N;NAVARRA;305;1021Y;ARTICUTZA (AUTOMATICA);;014752W
19;392024N;ILLES BALEARS;45;B410B;SANTANY?;;030845E
20;413540N;BARCELONA;738;0158O;MONTSERRAT;;015021E
21;431021N;GIPUZKOA;180;1038X;AZPEITIA;;021602W
22;412326N;BARCELONA;26;0201D;BARCELONA, PORT OL?MPIC;8180;021200E
23;432348N;CANTABRIA;10;1096X;BARCENA DE CICERO, TRETO;;032811W
24;413514N;BARCELONA;74;0252D;ARENYS DE MAR;8186;023224E
25;432928N;CANTABRIA;51;1111X;SANTANDER;8023;034802W
26;421129N;GIRONA;675;0324A;RIPOLL;8118;021146E
27;425843N;ASTURIAS;1480;1221D;PAJARES-VALGRANDE;8031;054635W
28;415820N;GIRONA;76;0370E;GIRONA;;024910E
29;433409N;ASTURIAS;60;1283U;CABO BUSTO;8010;062812W
30;393659N;ILLES BALEARS;95;B640X;PETRA;;030716E
31;425150N;LUGO;1080;1521X;BECERRE?;;071107W
32;430329N;GIPUZKOA;290;1026X;ORDIZIA;;021103W
33;395117N;BALEARES;91;B893;MENORCA, AEROPUERTO;8314;041256E
34;423350N;LEON;532;1549;PONFERRADA;8053;063600W
35;432543N;CANTABRIA;3;1109X;SANTANDER AEROPUERTO;8021;034953W
36;411933N;VALLADOLID;740;2503X;OLMEDO;8142;044113W
37;431825N;A CORU?A;98;1387E;A CORU?A AEROPUERTO;8002;082219W
38;280315N;STA. CRUZ DE TENERIFE;190;C319W;VALLEHERMOSO, DAMA;;171823W
39;405256N;AVILA;925;2512Y;RIVILLA DE BARAJAS;;050107W
40;422425N;PONTEVEDRA;395;1489A;A LAMA;;082704W
41;281327N;STA. CRUZ DE TENERIFE;1654;C423R;CITFAGRO_90_PICACHO;;163116W
42;423854N;LEON;995;2728B;QUINTANA DEL CASTILLO, VILLAMECA;;060415W
43;423126N;BURGOS;869;2285B;VILLADIEGO;;040004W
44;282748N;SANTA CRUZ DE TENERIFE;36;C449C;STA.CRUZ DE TENERIFE;60020;161519W
45;422759N;LEON;850;2742R;BUSTILLO DEL P?RAMO;;054647W
46;410417N;AVILA;820;2456B;AREVALO;;044348W
47;282207N;STA. CRUZ DE TENERIFE;595;C458U;CITFAGRO_71_PALOB;;163441W
48;414708N;ZAMORA;711;2789H;POZUELO DE TABARA;;055432W
49;430344N;LEON;1510;2630X;PUERTO DE SAN ISIDRO;8057;052237W
50;275125N;LAS PALMAS;806;C625O;SAN BARTOLOME TIRAJANA, LOMO PEDRO ALFONSO;;153842W
51;402428N;GUADALAJARA;920;3085Y;PASTRANA;;025711W
52;423558N;LEON;912;2661B;LE?N AEROPUERTO;8055;053837W
53;291355N;LAS PALMAS;10;C839I;TEGUISE;;133007W
54;410808N;MADRID;1450;3111D;SOMOSIERRA;8145;033450W
55;420457N;ZAMORA;933;2766E;SANABRIA, ROBLEDA-CERVANTES;;063823W
56;274908N;SANTA CRUZ DE TENERIFE;32;C929I;HIERRO AEROPUERTO;60001;175320W
57;395134N;TOLEDO;540;3259;TOLEDO, LORENZANA;;040132W
58;403410N;SALAMANCA;1027;2918Y;EL MA?LLO;;061325W
59;420025N;BARCELONA;700;0114X;PRATS DE LLU?AN?S;;020136E
60;392857N;CACERES;503;3463X;TRUJILLO;8263;055115W
61;405105N;SALAMANCA;748;2926B;BA?OB?REZ;;063632W
62;413444N;BARCELONA;313;0171X;IGUALADA;8172;013704E
63;400715N;CACERES;1260;3516X;PIORNAL;;054957W
64;403149N;CUENCA;928;3044X;CA?IZARES;8230;020900W
65;413018N;BARCELONA;56;0244X;VILASSAR DE DALT;;022145E
66;400340N;CUENCA;875;4051Y;ALC?ZAR DEL REY;;024825W
67;420314N;GIRONA;1;0385X;L'ESTARTIT;;031205E
68;392327N;CIUDAD REAL;640;4064Y;ALCAZAR DE SAN JUAN;;031257W
69;410025N;MADRID;1030;3110C;BUITRAGO DEL LOZOYA;8146;033650W
70;430506N;NAVARRA;520;1033X;ARESO;;015703W
71;391009N;CIUDAD REAL;662;4103X;TOMELLOSO;8276;030027W
72;402919N;MADRID;607;3175;TORREJ?N DE ARDOZ;8227;032637W
73;432237N;BIZKAIA;12;1055B;LEKEITIO;8024;023037W
74;385916N;CIUDAD REAL;627;4121C;CIUDAD REAL, INSTITUTO;;035545W
75;402443N;MADRID;667;3195;MADRID, RETIRO;8222;034041W
76;431753N;BIZKAIA;42;1082;BILBAO AEROPUERTO;8025;025423W
77;384502N;CIUDAD REAL;700;4147X;VALDEPE?AS;8351;032329W
78;401847N;MADRID;890;3330Y;ROZAS DE PUERTO REAL;;042914W
79;432336N;CANTABRIA;38;1159;SAN VICENTE DE LA BARQUERA;8017;042332W
80;391301N;CIUDAD REAL;587;4193Y;EL ROBLEDO;;041658W
81;402803N;AVILA;850;3337U;CEBREROS;;042721W
82;430918N;CANTABRIA;1910;1167G;MIRADOR DEL CABLE, PARQUE NACIONAL PICOS DE EUROPA;;044811W
83;385720N;BADAJOZ;274;4358X;DON BENITO;8333;055250W
84;394012N;CACERES;559;3455X;JARAICEJO;;054830W
85;431560N;ASTURIAS;370;1186P;AMIEVA, PANIZALES;;050709W
86;391151N;CACERES;467;4411C;ALCUESCAR;;061352W
87;384415N;CIUDAD REAL;900;4138Y;VILLANUEVA DE LOS INFANTES;;030016W
88;431725N;ASTURIAS;280;1272B;TINEO, SOUTU;;062312W
89;391055N;BADAJOZ;283;4464X;ALBURQUERQUE;;065943W
90;392702N;CACERES;689;4236Y;PUERTO REY;;050135W
91;432148N;A CORU?A;132;1387D;A CORU?A BENS;8000;082631W
92;375457N;JAEN;799;5038Y;CAZORLA;;030014W
93;424314N;A CORU?A;685;1437O;MONTE IROITE;8043;085524W
94;391658N;CACERES;413;4347X;ZORITA;;054237W
95;362422N;CADIZ;70;5983X;MEDINA SIDONIA;;055513W
96;424203N;PONTEVEDRA;435;1466A;SILLEDA;;081528W
97;371306N;HUELVA;15;4554X;CARTAYA;;070501W
98;360050N;CADIZ;32;6001;TARIFA;8458;053556W
99;423505N;PONTEVEDRA;32;1477V;VILAGARC?A DE AROUSA;;084629W
100;374511N;CORDOBA;120;5470;FUENTE PALMERA;;050602W
101;364459N;MALAGA;766;6032B;RONDA;8443;051006W
102;415638N;PONTEVEDRA;55;1730E;O ROSAL;;085051W
103;361105N;CADIZ;4;5996B;BARBATE;;055434W
104;365708N;GRANADA;1732;6248D;CA?AR, PARQUE NACIONAL SIERRA NEVADA;;032549W
105;412059N;SORIA;1042;2059B;LA RIBA DE ESCALOTE;;024700W
106;363240N;MALAGA;315;6040X;CORTES DE LA FRONTERA;;052311W
107;372326N;ALMERIA;300;6367B;HU?RCAL-OVERA;8428;015637W
108;425214N;PALENCIA;1140;2235U;CERVERA DE PISUERGA;8058;043112W
109;361623N;CADIZ;1;6056X;SAN ROQUE;;051704W
110;374335N;MURCIA;140;7023X;FUENTE ?LAMO DE MURCIA;;011002W
111;405643N;SEGOVIA;1008;2465;SEGOVIA;8213;040735W
112;362242N;MALAGA;140;6057X;MANILVA;;051536W
113;382221N;ALICANTE;81;8025;ALACANT/ALICANTE;8359;002939W
114;404032N;SALAMANCA;865;2847X;PEDROSILLO DE LOS AIRES;;053836W
115;364326N;GRANADA;3;6268Y;MOTRIL, PUERTO;;033145W
116;400043N;CUENCA;819;3094B;TARANC?N;8277;030117W
117;383237N;ALICANTE;36;8036Y;BENIDORM;;000816W
118;370829N;ALMERIA;869;6302A;ABLA;8427;024648W
119;403142N;MADRID;605;3170Y;ALCALA DE HENARES;;031723W
120;385701N;VALENCIA;12;8058Y;MIRAMAR;;000816W
121;370115N;ALMERIA;601;6312E;R?GOL, PARQUE NACIONAL SIERRA NEVADA;;024038W
122;393249N;TOLEDO;917;3298X;SAN PABLO DE LOS MONTES;8270;042102W
123;400402N;CUENCA;949;8096;CUENCA;8231;020755W
124;375728N;MURCIA;75;7228;ALCANTARILLA, BASE A?REA;8429;011343W
125;401531N;CACERES;991;3514B;TORNAVACAS;;054042W
126;393950N;VALENCIA;198;8409X;LL?RIA;;003914W
127;385102N;ALBACETE;710;8198Y;ALMANSA;;010347W
128;394744N;CASTELLON;400;8439X;SEGORBE;;002907W
129;400338N;VALENCIA;705;8381X;ADEMUZ;;011701W
130;393705N;CACERES;425;3565X;BROZAS;;064442W
131;404137N;CASTELLON;1165;8520X;LA POBLA DE BENIFASS?-FREDES;;000955E
132;385353N;CIUDAD REAL;718;4210Y;ABEN?JAR;;041731W
133;395726N;CASTELLON;43;8500A;CASTELL? - ALMASSORA;8286;000419W
134;423334N;BURGOS;730;9031C;BRIVIESCA;;031832W
135;382533N;BADAJOZ;433;4427X;ZAFRA;;062612W
136;403315N;CASTELLON;111;8523X;VINAR?S;8239;002547E
137;424637N;NAVARRA;459;9263D;PAMPLONA, AEROPUERTO;8085;013900W
138;375948N;JAEN;771;5164B;BAEZA;;032743W
139;430212N;CANTABRIA;1650;9001S;ALTO CAMPOO;8061;042228W
140;421155N;NAVARRA;295;9294E;BARDENAS REALES, BASE A?REA;8087;012831W
141;380904N;JAEN;515;5279X;LINARES;;033746W
142;423431N;LA RIOJA;465;9121X;HARO;;025117W
143;420320N;NAVARRA;297;9302Y;TUDELA;;013634W
144;382544N;CIUDAD REAL;710;5341C;FUENCALIENTE;;041806W
145;424735N;HUESCA;2276;9195C;AST?N- LA RACA;8909;003019W
146;412635N;ZARAGOZA;535;9501X;VALMADRID;;005309W
147;371125N;GRANADA;560;5530E;GRANADA AEROPUERTO;8419;034723W
148;404943N;TERUEL;895;9531Y;MONTALB?N;;004734W
149;423051N;HUESCA;722;9211F;BAILO, PUYALTO;;004902W
150;363237N;MALAGA;392;6069X;BENAHAV?S;;050129W
151;405828N;TERUEL;762;9550C;ANDORRA, HORCALLANA;;002428W
152;424904N;NAVARRA;450;9262;PAMPLONA;;013818W
153;363219N;MALAGA;8;6084X;FUENGIROLA;8480;043706W
154;405648N;TERUEL;466;9569A;CALANDA;8166;001416W
155;373917N;MURCIA;312;7209;LORCA;8426;014114W
156;414748N;ZARAGOZA;405;9495Y;LECI?ENA;;003702W
157;420645N;HUESCA;765;9756X;BENABARRE;;002848E
158;380404N;ALICANTE;26;7244X;ORIHUELA;;005853W
159;412545N;ZARAGOZA;205;9510X;QUINTO;;003014W
160;405224N;TERUEL;483;9935X;VALDERROBRES;;000847E
161;385048N;ALICANTE;60;8057C;PEGO;;000706W
162;411019N;TERUEL;305;9546B;HIJAR;;002631W
163;405711N;TARRAGONA;495;9946X;HORTA DE SANT JOAN;;001842E
164;390101N;VALENCIA;340;8072Y;BARX;;001817W
165;410329N;TERUEL;334;9573X;ALCA?IZ;8164;000830W
166;394924N;ILLES BALEARS;490;B013X;ESCORCA, LLUC;8304;025309E
167;401321N;CUENCA;1154;8084Y;PANTANO DE LA TOBA (AUTOMATICA);;015533W
168;421957N;GIRONA;1699;9585;LA MOLINA;8117;015622E
169;394323N;ILLES BALEARS;99;B603X;ART?-COL?NIA DE SANT PERE;;031643E
170;393319N;CUENCA;830;8155Y;MOTILLA DEL PALANCAR;;015455W
171;420916N;LLEIDA;609;9638D;COLL DE NARG?;;011843E
172;394041N;ILLES BALEARS;105;B662X;BINISSALEM;;025226E
173;391230N;VALENCIA;372;8193E;JALANCE;;010540W
174;420401N;LLEIDA;515;9707;LLIMIANA;;005426E
175;290233N;LAS PALMAS;275;C048W;TINAJO;;134051W
176;394252N;CUENCA;815;8245Y;MIRA;;012633W
177;423012N;LLEIDA;1089;9744B;VALL DE BO?;;004756E
178;281231N;LAS PALMAS;1;C239N;TUINEJE,PUERTO GRAN TARAJAL;;140123W
179;401410N;TERUEL;1430;8376;JABALOYAS;;012442W
180;420504N;HUESCA;546;9898;HUESCA, AEROPUERTO;8094;001932W
181;281301N;STA. CRUZ DE TENERIFE;930;C426R;CITFAGRO_09_HELECHO;;162926W
182;392846N;VALENCIA;6;8416X;VALENCIA, UPV;;002014W
183;411458N;TARRAGONA;363;9961X;CABAC?S;;004407E
184;275512N;LAS PALMAS;960;C635B;SAN BARTOLOME TIRAJANA, LAS TIRAJANAS;;153427W
185;392850N;VALENCIA;11;8416Y;VAL?NCIA, VIVEROS;8285;002159W
186;393832N;ILLES BALEARS;95;B236C;PALMA, UNIVERSITAT;;023838E
187;280441N;LAS PALMAS;269;C658X;LAS PALMAS DE GRAN CANARIA, TAFIRA;;152712W
188;425931N;CANTABRIA;870;9001D;REINOSA;8032;040938W
189;393339N;BALEARES;5;B278;PALMA DE MALLORCA, AEROPUERTO;8306;024412E
190;280356N;LAS PALMAS;900;C665T;VALLESECO;;153356W
191;423614N;ARABA/ALAVA;612;9122I;LABASTIDA;;024636W
192;394454N;BALEARES;40;B691;LA PUEBLA (SA CANOVA);;030055E
193;273955N;STA. CRUZ DE TENERIFE;98;C919K;TACORON-LAPILLAS-TORTUGA;;180107W
194;422450N;LA RIOJA;500;9141V;N?JERA;;024336W
195;280154N;STA. CRUZ DE TENERIFE;219;C329B;LA GOMERA, AEROPUERTO;60007;171239W
196;415159N;BARCELONA;361;0106X;BALSARENY;;015221E
197;422708N;LA RIOJA;353;9170;LOGRO?O, AEROPUERTO;8084;021952W
198;281019N;STA. CRUZ DE TENERIFE;1833;C422A;CITFAGRO_94_LOSTOPOS;;163905W
199;414828N;GIRONA;14;0284X;CASTELL D'ARO;;030151E
200;420716N;ZARAGOZA;321;9321X;EJEA DE LOS CABALLEROS;;010823W
201;281611N;STA. CRUZ DE TENERIFE;500;C437E;CITFAGRO_81_MENA;;162511W
202;415442N;GIRONA;143;367;GIRONA AEROPUERTO;8184;024548E
203;403400N;TERUEL;1000;9374X;SANTA EULALIA DEL CAMPO;;011915W
204;282714N;STA. CRUZ DE TENERIFE;922;C456E;CITFAGRO_10_RAVELO;;162431W
205;431935N;GIPUZKOA;120;1012P;IRUN;;014748W
206;410652N;ZARAGOZA;774;9390;DAROCA;8157;012436W
207;282947N;STA. CRUZ DE TENERIFE;310;C458A;TACORONTE;;162512W
208;412449N;LLEIDA;392;9775X;EL SOLER?S;;004042E
209;432754N;CANTABRIA;64;1110;SANTANDER, CIUDAD;;034908W
210;275836N;LAS PALMAS;1702;C611E;VEGA DE SAN MATEO;;153502W
211;432513N;ASTURIAS;10;1183X;LLANES;8016;044453W
212;394300N;ILLES BALEARS;57;B569X;CAPDEPERA;8311;032841E
213;280604N;LAS PALMAS;5;C619X;AGAETE;;154246W
214;424607N;LUGO;1020;1297E;CERVANTES;;070103W
215;395434N;ILLES BALEARS;2;B780X;PORT DE POLLEN?A;;030601E
216;410726N;TARRAGONA;55;0042Y;TARRAGONA;;011457E
217;432456N;ASTURIAS;340;1341B;TARAMUNDI, OURIA;;070340W
218;283545N;STA. CRUZ DE TENERIFE;62;C129Z;TAZACORTE;60004;175455W
219;413646N;BARCELONA;175;0222X;CALDES DE MONTBUI;;021006E
220;430216N;A CORU?A;500;1410X;SOBRADO;;080120W
221;280949N;STA. CRUZ DE TENERIFE;252;C328W;HERMIGUA;;171139W
222;432125N;GIPUZKOA;4;1014A;DONOSTIA / SAN SEBASTI?N AEROPUERTO;8029;014732W
223;425939N;ASTURIAS;1530;1542;PUERTO DE LEITARIEGOS;8052;062451W
224;282505N;STA. CRUZ DE TENERIFE;25;C459Z;PUERTO DE LA CRUZ;60012;163254W
225;430301N;ARABA/ALAVA;240;1060X;AMURRIO;;030020W
226;424558N;LEON;770;1561I;VEGA DE ESPINAREDA;;064025W
227;274845N;LAS PALMAS;41;C639U;SAN BARTOLOME TIRAJANA, EL MATORRAL;;152711W
228;431212N;BIZKAIA;208;1078I;G?E?ES;8035;030617W
229;421056N;PONTEVEDRA;90;1723X;PONTEAREAS, CANEDO;;082934W
230;280540N;LAS PALMAS;352;C668V;AGAETE - SUERTE ALTA;;154030W
231;432341N;CANTABRIA;45;1083L;CASTRO URDIALES;8020;031402W
232;421504N;BURGOS;771;2290Y;PEDROSA DEL PR?NCIPE;;041156W
233;274839N;STA. CRUZ DE TENERIFE;670;C928I;VALVERDE;;175510W
234;431619N;CANTABRIA;105;1152C;SAN FELICES DE BUELNA;;040255W
235;420619N;BURGOS;884;2311Y;VILLAMAYOR DE LOS MONTES;;034604W
236;411734N;BARCELONA;4;76;BARCELONA AEROPUERTO;8181;020412E
237;433230N;ASTURIAS;22;1208A;GIJ?N. LA MERCED;;053943W
238;415534N;BARCELONA;578;349;SANT JULI? DE VILATORTA;8119;021903E
239;404944N;AVILA;920;2453E;GOTARRENDURA;;044431W
240;430600N;ASTURIAS;670;1276F;POLA DE SOMIEDO;;061525W
241;420310N;GIRONA;337;0360X;LES PLANES D'HOSTOLES;;023304E
242;425308N;LEON;1120;2701D;BARRIOS DE LUNA, MI?ERA;;055215W
243;433129N;ASTURIAS;40;1331A;CASTROPOL;8009;070153W
244;402119N;AVILA;1012;2828Y;BARCO DE AVILA;;053109W
245;421329N;GIRONA;2;0411X;CASTELL? D'EMP?RIES;;030535E
246;421350N;PONTEVEDRA;120;1496X;VIGO;;084327W
247;411420N;ZAMORA;1003;2882D;PE?AUSENDE;8135;055351W
248;421533N;GIRONA;45;0429X;FIGUERES;;025737E
249;402706N;MADRID;664;3194U;MADRID, CIUDAD UNIVERSITARIA;8220;034327W
250;422805N;OURENSE;610;1696O;BEARIZ;;081641W
251;430809N;NAVARRA;183;1002Y;BAZTAN, IRURITA;8030;013235W
252;404223N;MADRID;1532;3266A;PUERTO ALTO DEL LE?N;8217;040831W
253;411131N;SEGOVIA;1798;2150H;LA PINILLA, ESTACI?N DE ESQU?;8143;032831W
254;431058N;CANTABRIA;250;1174I;CILL?RIGO DE LI?BANA, TAMA;;043606W
255;402023N;AVILA;1285;3319D;PUERTO DEL PICO;;050046W
256;430543N;ASTURIAS;750;1226X;ALLER, FELECHOSA;;052837W
257;400914N;CACERES;464;3423I;MADRIGAL DE LA VERA;;052224W
258;414632N;SORIA;1039;2296A;?LVEGA;;015836W
259;431630N;ASTURIAS;170;1234P;MIERES, BAI?A;;054909W
260;401554N;CACERES;724;3504X;HERV?S;;055140W
261;415944N;PALENCIA;874;2400E;AUTILLA DEL PINO;8072;043610W
262;433226N;LUGO;43;1342X;RIBADEO;;070459W
263;391543N;ALBACETE;718;4091Y;VILLARROBLEDO;;023533W
264;411648N;VALLADOLID;786;2503B;OLMEDO, DEP?SITO DE AGUA;;044131W
265;425234N;A CORU?A;240;1475X;SANTIAGO DE COMPOSTELA;8041;083321W
266;382822N;BADAJOZ;377;4492F;BARCARROTA;;065524W
267;423456N;PONTEVEDRA;36;1477U;VILAGARCIA DE AROUSA;;084611W
268;415233N;VALLADOLID;731;2604B;MEDINA DE RIOSECO;;050225W
269;382220N;BADAJOZ;247;4497X;VILLANUEVA DEL FRESNO;;070929W
270;422346N;PONTEVEDRA;3;1486E;ESCUELA NAVAL DE MAR?N;8043;084225W
271;425730N;LEON;1090;2624C;RIA?O;;050027W
272;371141N;HUELVA;3;4549Y;AYAMONTE;8381;072342W
273;421537N;OURENSE;990;1639X;CHANDREXA DE QUEIXA;;072301W
274;402232N;MADRID;690;3196;MADRID, CUATRO VIENTOS;8223;034710W
275;375141N;GRANADA;1100;5051X;HU?SCAR;8423;023910W
276;422517N;OURENSE;400;1700X;O CARBALLI?O;8047;080533W
277;402948N;MADRID;884;3343Y;VALDEMORILLO;;040340W
278;371128N;GRANADA;1534;5103F;CAMARATE, PARQUE NACIONAL SIERRA NEVADA;;031514W
279;420847N;BURGOS;1197;2302N;MONTERRUBIO DE LA DEMANDA;;030635W
280;402429N;CACERES;470;3494U;NU?OMORAL;;061423W
281;382921N;JAEN;862;5192;VILLARRODRIGO;8354;023815W
282;420018N;PALENCIA;750;2401;PALENCIA, OBSERVATORIO;;043145W
283;390501N;CIUDAD REAL;531;4220X;PUEBLA DE DON RODRIGO;8271;043719W
284;380535N;JAEN;345;5281X;BAIL?N;;034657W
285;411546N;SALAMANCA;690;2891A;VILLARINO DE LOS AIRES;;062744W
286;374639N;JAEN;580;5270B;JA?N;8417;034833W
287;381959N;CORDOBA;750;5390Y;VILLANUEVA DE C?RDOBA;8346;043632W
288;404710N;SALAMANCA;785;2914C;BOADILLA FUENTE SAN ESTEBAN;;061210W
289;373322N;CORDOBA;650;5427X;DO?A MENC?A;8412;042114W
290;380640N;CORDOBA;465;5459X;ESPIEL;;045543W
291;403341N;MADRID;740;3126Y;MADRID, EL GOLOSO;;034243W
292;371140N;SEVILLA;410;5612B;LA RODA DE ANDALUC?A;8399;044612W
293;372855N;CORDOBA;309;5624X;AGUILAR DE LA FRONTERA;;044109W
294;410511N;GUADALAJARA;1005;3130C;SIG?ENZA;8150;023705W
295;371613N;SEVILLA;450;5612X;LORA DE ESTEPA;;044937W
296;404146N;MADRID;1004;3191E;COLMENAR VIEJO;8219;034554W
297;364500N;CADIZ;10;5906X;CHIPIONA;;062402W
298;373819N;CORDOBA;200;5625X;LA RAMBLA;;044550W
299;394146N;TOLEDO;635;3245Y;TEMBLEQUE;;033021W
300;364521N;MALAGA;35;6201X;ALGARROBO;;040238W
301;401122N;CACERES;393;3503;GUIJO DE GRANADILLA;;061003W
302;375825N;HUELVA;618;5769X;CALA;;061920W
303;401518N;CACERES;459;3531X;TORRECILLA DE LOS ANGELES;;062442W
304;372500N;SEVILLA;34;5783;SEVILLA AEROPUERTO;8391;055245W
305;370636N;ALMERIA;970;6335O;NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA;;024157W
306;393101N;CUENCA;858;4089A;ALBERCA DE ZANCARA;;022945W
307;364538N;CADIZ;913;5911A;GRAZALEMA;8455;052227W
308;373604N;MURCIA;17;7012C;CARTAGENA;8434;005916W
309;393319N;CUENCA;745;4095Y;BELMONTE;;024220W
310;361444N;CADIZ;186;5995B;VEJER DE LA FRONTERA;8457;055754W
311;390020N;ALBACETE;674;8178D;ALBACETE;8279;015144W
312;392719N;CACERES;660;4245X;GUADALUPE;;051960W
313;370019N;GRANADA;1020;6281X;V?LOR;;030417W
314;424822N;CANTABRIA;720;9019B;VALDERREDIBLE, POLIENTES;8033;035602W
